Region,Product,Sales,Quantity,Date,Customer_Type
North,A,450,15,2024-01-01,Premium
South,B,320,8,2024-01-02,Standard
East,C,780,25,2024-01-03,Premium
West,A,210,7,2024-01-04,Standard
North,B,650,18,2024-01-05,Premium
South,C,890,30,2024-01-06,Premium
East,A,340,12,2024-01-07,Standard
West,B,520,16,2024-01-08,Premium
North,C,720,24,2024-01-09,Standard
South,A,280,9,2024-01-10,Standard
East,B,610,20,2024-01-11,Premium
West,C,475,14,2024-01-12,Standard
North,A,380,13,2024-01-13,Premium
South,B,590,19,2024-01-14,Standard
East,C,820,28,2024-01-15,Premium
West,A,310,10,2024-01-16,Standard
North,B,700,22,2024-01-17,Premium
South,C,450,15,2024-01-18,Standard
East,A,260,8,2024-01-19,Standard
West,B,630,21,2024-01-20,Premium
